ID,rating
0,3.7687864
1,3.1370623
2,3.4096532
3,3.5203834
4,2.821703
5,3.8056161
6,3.522804
7,4.052313
8,2.5973282
9,3.5926788
10,3.3750813
11,2.166039
12,3.838514
13,4.2463045
14,3.7589827
15,3.6243618
16,3.3443904
17,2.2306573
18,3.5487752
19,2.957078
20,3.4151
21,4.311976
22,3.9729779
23,3.2426465
24,3.2663271
25,4.722902
26,3.17492
27,2.6977913
28,3.897981
29,2.8649626
30,4.554271
31,2.7427192
32,3.067863
33,3.3199947
34,3.6875486
35,4.314898
36,3.2845361
37,3.8237555
38,2.1946304
39,3.0561945
40,4.4074564
41,4.5389752
42,4.402397
43,3.294658
44,2.8814692
45,3.118645
46,3.8047283
47,4.4636755
48,4.595705
49,3.1701984
50,2.4621594
51,3.1031551
52,4.0751076
53,3.6361465
54,2.8267865
55,4.1828628
56,3.6813903
57,2.8716397
58,3.169215
59,1.9126683
60,3.7652917
61,1.6762427
62,4.570107
63,3.8721137
64,3.2661457
65,3.7091355
66,5.1357617
67,3.9364254
68,1.3360451
69,1.7017184
70,4.8256836
71,3.1960614
72,4.7088094
73,3.1217778
74,5.038781
75,2.4517412
76,2.6519222
77,4.391916
78,2.9989786
79,3.6969416
80,3.4118342
81,2.6301281
82,2.895106
83,3.2015529
84,3.8134153
85,2.9873056
86,3.325633
87,2.2816079
88,2.0075247
89,3.653623
90,3.6389763
91,3.5873795
92,3.2175868
93,4.591362
94,3.2158527
95,3.0821898
96,3.1074026
97,3.6775079
98,4.262528
99,3.3438964
100,3.2908027
101,2.511985
102,4.2505913
103,3.7938833
104,3.9143264
105,4.4918814
106,3.855615
107,2.6277297
108,3.5660858
109,3.5473404
110,3.259546
111,3.8221774
112,3.1988502
113,4.0865088
114,4.1537776
115,4.0774555
116,3.6771808
117,3.3279839
118,3.9940348
119,3.2738593
120,4.100816
121,3.4155445
122,3.0412815
123,4.277024
124,4.2218313
125,2.5741649
126,3.771772
127,3.3980398
128,3.8873324
129,3.8419008
130,3.4045463
131,2.8062065
132,4.4406004
133,3.3862967
134,3.580654
135,3.0512722
136,3.812656
137,3.0641001
138,3.9872398
139,3.2908442
140,4.108319
141,4.428647
142,3.1354546
143,4.614451
144,3.973597
145,3.3260264
146,3.3471425
147,3.8274858
148,2.9646995
149,2.2906194
150,3.3299494
151,3.1711402
152,4.311087
153,3.2705503
154,3.2043653
155,1.7977451
156,2.6723626
157,5.2782397
158,3.1440706
159,1.3944472
160,4.4084296
161,4.5161514
162,3.5264428
163,3.0475829
164,1.7800567
165,2.1925788
166,4.5733585
167,3.944152
168,4.316345
169,3.089803
170,4.372036
171,2.1091452
172,3.9367156
173,2.4140651
174,3.9588025
175,2.438157
176,3.4345734
177,2.780439
178,3.0901392
179,4.284872
180,3.3638127
181,4.043319
182,2.5283515
183,4.473214
184,4.174741
185,3.6967287
186,3.2161548
187,3.568429
188,4.1045747
189,3.4041452
190,4.3584647
191,2.5408244
192,3.6543324
193,2.2569332
194,3.3606458
195,2.5220954
196,4.216762
197,1.7720125
198,3.3250782
199,4.569119
200,4.005722
201,3.4827535
202,4.1388073
203,3.1025052
204,3.9297938
205,3.6614573
206,3.3231416
207,3.8373141
208,4.0687222
209,2.9944024
210,3.6842704
211,3.535331
212,4.016885
213,3.555435
214,3.9479716
215,4.217108
216,2.5704932
217,3.8444686
218,3.051681
219,3.5900176
220,4.0035224
221,2.903652
222,3.036475
223,2.6178927
224,3.3117704
225,3.1792934
226,4.1599655
227,3.8712084
228,2.5576653
229,3.7644227
230,4.1472654
231,3.5294151
232,3.4585397
233,2.5272298
234,3.9651906
235,4.2032886
236,2.3464305
237,2.5025454
238,2.1173937
239,2.30707
240,3.9062223
241,3.3914254
242,4.5291133
243,3.4286275
244,3.44666
245,3.2398984
246,1.8824962
247,4.4424143
248,3.4490511
249,4.105619
250,3.9461622
251,3.2147095
252,3.5635421
253,3.7578778
254,3.83836
255,3.2629235
256,3.9077668
257,3.112192
258,3.1367958
259,2.4088802
260,4.004662
261,3.516092
262,3.7956643
263,3.8362262
264,4.1007166
265,2.3616352
266,3.73782
267,4.205425
268,2.446534
269,2.713854
270,2.900386
271,3.4068007
272,4.932202
273,2.8268645
274,3.184698
275,3.813346
276,3.8536468
277,3.525288
278,3.3034587
279,3.3213382
280,3.0727875
281,2.6618292
282,4.4950542
283,3.5630193
284,3.1857855
285,4.3528285
286,4.0057726
287,2.8193378
288,4.108223
289,3.4940584
290,3.777247
291,3.2876422
292,3.7067902
293,4.3192205
294,3.8807309
295,2.1480377
296,4.084536
297,3.594288
298,3.7079663
299,3.9798675
300,1.2892335
301,4.313887
302,3.462788
303,2.8245022
304,3.7313387
305,3.4688206
306,1.2243061
307,3.32788
308,3.7272546
309,3.354049
310,3.8819942
311,3.6934628
312,4.847313
313,3.227047
314,2.415569
315,4.299085
316,4.564215
317,3.8103075
318,3.6065936
319,3.8098578
320,4.3716803
321,2.9148035
322,3.8893454
323,3.6160479
324,3.9014685
325,2.8842824
326,3.7944138
327,4.1988325
328,2.9642096
329,4.555007
330,3.2508104
331,3.8714705
332,3.276727
333,3.320784
334,3.5455992
335,2.6237252
336,3.7680302
337,2.9620173
338,3.9295013
339,3.2448125
340,4.1877565
341,3.8975658
342,1.850345
343,2.6535149
344,3.3825366
345,4.46213
346,3.7449358
347,4.133648
348,3.19896
349,2.250968
350,3.9745662
351,2.5202487
352,2.6370883
353,4.9785132
354,2.6931214
355,4.50377
356,3.534145
357,4.2452974
358,4.8079844
359,3.9552605
360,3.9222066
361,2.6326308
362,4.2259746
363,3.2742326
364,4.225772
365,2.8862638
366,3.5968196
367,3.5762022
368,3.220021
369,3.243436
370,4.4979854
371,4.2147355
372,4.3480854
373,3.7057445
374,4.57714
375,4.8378053
376,4.021608
377,4.375135
378,4.2388573
379,2.9378033
380,4.935932
381,4.016875
382,4.431731
383,3.2239823
384,3.6351178
385,3.3384435
386,3.5035608
387,4.6618013
388,2.8218427
389,4.0517454
390,2.7961419
391,3.5206666
392,4.2953105
393,2.6628942
394,3.8824747
395,3.6040227
396,2.2160594
397,2.5922692
398,3.586265
399,4.4924245
400,4.346007
401,2.9562485
402,3.2160952
403,4.029363
404,3.6333225
405,3.7841277
406,3.7399323
407,2.9856555
408,3.7526913
409,3.998061
410,3.7666974
411,2.4837391
412,3.7231717
413,3.0190086
414,2.9531093
415,4.568953
416,3.7967477
417,3.8116713
418,3.7391179
419,2.0081992
420,3.1710734
421,3.4459321
422,4.1163244
423,4.378651
424,3.7216792
425,4.083892
426,3.4653473
427,3.2718232
428,3.0817776
429,2.7165616
430,2.9139605
431,3.6664271
432,4.0152135
433,3.0816352
434,4.2250805
435,2.7721949
436,2.6022823
437,4.4140096
438,2.9441996
439,3.172668
440,4.297779
441,3.6535773
442,3.4804432
443,2.3267968
444,3.429833
445,1.1424869
446,2.887228
447,3.3589458
448,3.5974529
449,3.579227
450,3.4567854
451,4.2575154
452,4.4972253
453,3.3978193
454,1.9276325
455,2.9183927
456,3.6842299
457,2.924404
458,2.9362986
459,5.0092506
460,4.2742586
461,3.446873
462,4.136994
463,4.5632696
464,3.3149695
465,2.4886525
466,4.2844243
467,3.818256
468,4.273702
469,3.0079153
470,3.3969927
471,3.671123
472,4.765891
473,4.38846
474,2.759251
475,3.6455183
476,3.912499
477,4.957633
478,2.5160415
479,4.608706
480,4.2086368
481,3.9229257
482,3.9144886
483,3.8265612
484,3.5939934
485,4.234389
486,3.5316093
487,3.9760358
488,4.066252
489,3.7881565
490,4.0006366
491,1.1342711
492,4.3680177
493,1.9637676
494,4.1485476
495,2.6871853
496,3.408056
497,3.303589
498,3.4502995
499,3.5086973
500,3.8084571
501,3.9109728
502,3.5052235
503,3.1942356
504,3.9646006
505,3.5575442
506,2.5335906
507,3.4230912
508,3.5118196
509,3.0874243
510,3.3403609
511,3.8463936
512,3.1642218
513,3.7694778
514,3.6592305
